,exchangeId,encodedCustNo,name,nickName,isAlwaysOn,jobCount,industryMean,mean,meanNonSupervisor,medianNonSupervisor
1397,6592,1a2x6bjpw9,和潤企業股份有限公司,和潤企業,True,64,95.4,133.0,134.8,106.8
1345,6485,daew9gg,點序科技股份有限公司,點序,True,31,193.8,120.7,126.2,106.7
713,3380,5vp0tog,明泰科技股份有限公司,明泰,True,22,101.1,106.0,113.2,106.6
751,3512,13umnuug,皇龍開發股份有限公司,皇龍,False,0,105.5,139.2,115.7,106.6
163,1709,1zbrxyo,和益化學工業股份有限公司,和益,True,0,90.9,129.7,117.5,106.3
1371,6535,5tfswvk,順天醫藥生技股份有限公司,順藥,True,0,88.8,153.9,114.2,106.2
343,2395,2d9ntmw,Advantech_研華股份有限公司,研華,True,146,138.1,109.4,123.2,105.9
588,3048,18luf0xc,EDOM_益登科技股份有限公司,益登,True,9,110.9,93.7,122.0,105.8
644,3206,eahwk48,志豐電子股份有限公司,志豐,True,1,94.0,163.1,112.7,105.8
263,2108,5lxejdk,南帝化學工業股份有限公司,南帝,True,7,76.4,106.8,111.5,105.8
309,2348,ae69jqg,海悅國際開發股份有限公司,海悅,True,56,95.4,161.8,125.5,105.8
391,2462,28o1488,台灣良得電子股份有限公司,良得電,True,9,94.0,146.3,129.2,105.5
351,2408,152cvzls,南亞科技股份有限公司,南亞科,True,107,193.8,120.3,122.0,105.4
695,3324,7muwb1c,雙鴻科技股份有限公司,雙鴻,True,46,134.7,127.5,115.3,105.3
850,4105,5fi4d3c,台灣東洋藥品工業股份有限公司,東洋,True,31,88.8,129.9,124.4,105.1
236,2029,10od7jco,盛餘股份有限公司,盛餘,True,5,97.9,102.5,114.0,105.0
987,4906,ajq4pyw,正文科技股份有限公司,正文,True,45,101.1,121.8,120.0,105.0
1620,8435,5kqld4g,台灣鉅邁股份有限公司,鉅邁,True,0,95.4,108.2,108.9,104.9
559,3017,13pctvp4,奇鋐科技股份有限公司,奇鋐,True,68,138.1,235.8,120.6,104.6
442,2545,13oju9hc,皇翔建設股份有限公司,皇翔,True,22,105.5,95.7,113.9,104.5
1465,6770,cwxk0oo,力晶積成電子製造股份有限公司(力積電),力積電,True,40,193.8,111.3,109.7,104.5
1383,6569,ddum13s,醫揚科技股份有限公司,醫揚,True,10,88.8,126.3,109.1,104.4
271,2211,11apqde0,長榮鋼鐵股份有限公司,長榮鋼,True,15,97.9,106.0,108.6,104.4
